title,top genre,year released,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year
Mine,pop,2010.0,121.0,76.0,62.0,-3.0,19.0,66.0,231.0,0.0,3.0,70.0,2010.0
Today Was A Fairytale,pop,2011.0,158.0,70.0,49.0,-4.0,17.0,34.0,242.0,3.0,3.0,56.0,2010.0
If I Die Young,contemporary country,2010.0,131.0,50.0,61.0,-7.0,28.0,36.0,223.0,35.0,3.0,74.0,2010.0
For the First Time,celtic rock,2011.0,174.0,63.0,40.0,-5.0,18.0,36.0,253.0,3.0,3.0,66.0,2010.0
All Time Low,boy band,2010.0,134.0,62.0,69.0,-5.0,8.0,79.0,205.0,35.0,5.0,63.0,2010.0
Seek Bromance (Avicii Vocal Edit),edm,2010.0,126.0,81.0,49.0,-3.0,9.0,55.0,201.0,9.0,4.0,55.0,2010.0
Carry Out (Featuring Justin Timberlake),dance pop,2009.0,116.0,57.0,53.0,-7.0,26.0,27.0,232.0,11.0,11.0,74.0,2010.0
If We Ever Meet Again (Featuring Katy Perry),dance pop,2009.0,126.0,61.0,65.0,-7.0,6.0,39.0,293.0,0.0,4.0,74.0,2010.0
Pass Out,dance pop,2010.0,91.0,89.0,69.0,-3.0,14.0,53.0,268.0,3.0,30.0,51.0,2010.0
Written in the Stars (feat. Eric Turner),dance pop,2010.0,123.0,97.0,62.0,-3.0,20.0,30.0,208.0,5.0,13.0,51.0,2010.0
"Hey, Soul Sister",dance pop,2010.0,97.0,89.0,67.0,-4.0,8.0,80.0,217.0,19.0,4.0,87.0,2010.0
Billionaire (feat. Bruno Mars),dance pop,2010.0,87.0,67.0,63.0,-6.0,21.0,66.0,211.0,30.0,26.0,77.0,2010.0
Bottoms Up (feat. Nicki Minaj),dance pop,2010.0,74.0,60.0,84.0,-5.0,39.0,33.0,242.0,2.0,16.0,78.0,2010.0
Say Aah (feat. Fabolous),dance pop,2009.0,93.0,87.0,72.0,-4.0,83.0,81.0,208.0,0.0,11.0,68.0,2010.0
What You Know,indie rock,2010.0,139.0,74.0,56.0,-4.0,8.0,78.0,192.0,0.0,4.0,76.0,2010.0
DJ Got Us Fallin' In Love (feat. Pitbull),atl hip hop,2010.0,120.0,86.0,66.0,-3.0,8.0,65.0,221.0,3.0,11.0,84.0,2010.0
OMG (feat. will.i.am),atl hip hop,2010.0,130.0,75.0,78.0,-6.0,36.0,33.0,269.0,20.0,3.0,78.0,2010.0
Hey Daddy (Daddy's Home),atl hip hop,2010.0,96.0,70.0,59.0,-4.0,11.0,35.0,224.0,0.0,3.0,65.0,2010.0
No Hands (feat. Roscoe Dash & Wale),atl hip hop,2010.0,131.0,60.0,76.0,-6.0,24.0,36.0,264.0,1.0,4.0,63.0,2010.0
We No Speak Americano (Edit),australian dance,2020.0,125.0,81.0,90.0,-5.0,9.0,75.0,157.0,7.0,5.0,65.0,2010.0
BedRock,dance pop,2009.0,148.0,66.0,73.0,-6.0,19.0,56.0,288.0,10.0,30.0,76.0,2010.0
Rolling in the Deep,british soul,2011.0,105.0,77.0,73.0,-5.0,5.0,51.0,228.0,14.0,3.0,84.0,2011.0
Set Fire to the Rain,british soul,2011.0,108.0,67.0,60.0,-4.0,11.0,45.0,243.0,0.0,2.0,81.0,2011.0
Mr. Saxobeat,dance pop,2011.0,127.0,93.0,72.0,-4.0,14.0,78.0,195.0,3.0,5.0,69.0,2011.0
What the Hell,canadian pop,2011.0,150.0,93.0,58.0,-4.0,14.0,88.0,221.0,0.0,5.0,80.0,2011.0
Lighters,detroit hip hop,2011.0,90.0,70.0,68.0,-8.0,12.0,14.0,304.0,35.0,25.0,74.0,2011.0
Love On Top,dance pop,2011.0,94.0,75.0,65.0,-5.0,60.0,65.0,267.0,8.0,9.0,79.0,2011.0
Best Thing I Never Had,dance pop,2011.0,99.0,65.0,55.0,-4.0,9.0,30.0,254.0,14.0,3.0,74.0,2011.0
Skinny Love,pop,2011.0,166.0,29.0,38.0,-8.0,12.0,17.0,201.0,95.0,5.0,77.0,2011.0
Just Can’t Get Enough,dance pop,2010.0,94.0,63.0,66.0,-9.0,11.0,26.0,219.0,19.0,18.0,81.0,2011.0
Honey Bee,contemporary country,2011.0,206.0,85.0,48.0,-5.0,12.0,72.0,211.0,0.0,4.0,69.0,2011.0
Holocene,eau claire indie,2011.0,148.0,30.0,37.0,-15.0,13.0,15.0,337.0,94.0,3.0,70.0,2011.0
I Wanna Go,dance pop,2011.0,130.0,55.0,70.0,-7.0,33.0,79.0,210.0,0.0,4.0,71.0,2011.0
Till the World Ends,dance pop,2011.0,132.0,71.0,69.0,-6.0,20.0,45.0,238.0,2.0,7.0,71.0,2011.0
Grenade,dance pop,2010.0,110.0,56.0,70.0,-7.0,11.0,25.0,222.0,15.0,5.0,82.0,2011.0
Marry You,dance pop,2010.0,145.0,82.0,62.0,-5.0,10.0,45.0,230.0,33.0,4.0,79.0,2011.0
The Lazy Song,dance pop,2010.0,175.0,71.0,79.0,-5.0,10.0,96.0,189.0,30.0,7.0,77.0,2011.0
Bounce (feat. Kelis) - Radio Edit,dance pop,2012.0,128.0,96.0,78.0,-2.0,66.0,76.0,222.0,3.0,4.0,67.0,2011.0
Blind Faith,dancefloor dnb,2011.0,140.0,85.0,45.0,-5.0,23.0,40.0,234.0,1.0,5.0,66.0,2011.0
Champion (feat. Chris Brown),grime,2011.0,190.0,93.0,42.0,-3.0,14.0,52.0,237.0,8.0,24.0,54.0,2011.0
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),dance pop,2011.0,146.0,68.0,77.0,-6.0,14.0,54.0,223.0,3.0,18.0,77.0,2011.0
Yeah 3x,dance pop,2011.0,130.0,88.0,71.0,-3.0,9.0,70.0,242.0,0.0,4.0,74.0,2011.0
Beautiful People,dance pop,2019.0,128.0,78.0,42.0,-6.0,8.0,54.0,226.0,7.0,16.0,59.0,2011.0
Jar of Hearts,dance pop,2011.0,75.0,35.0,35.0,-6.0,12.0,9.0,247.0,73.0,3.0,77.0,2011.0
You Make Me Feel... (feat. Sabi),dance pop,2011.0,132.0,86.0,67.0,-3.0,4.0,75.0,216.0,2.0,5.0,75.0,2011.0
Paradise,permanent wave,2011.0,140.0,59.0,45.0,-7.0,8.0,21.0,279.0,5.0,3.0,88.0,2011.0
Every Teardrop Is a Waterfall,permanent wave,2011.0,118.0,73.0,43.0,-7.0,17.0,33.0,241.0,0.0,4.0,75.0,2011.0
Where Them Girls At (feat. Nicki Minaj & Flo Rida),big room,2011.0,130.0,87.0,66.0,-3.0,23.0,56.0,210.0,3.0,4.0,69.0,2011.0
Who's That Chick? (feat. Rihanna),big room,2010.0,128.0,60.0,68.0,-5.0,5.0,93.0,201.0,0.0,12.0,66.0,2011.0
Coming Home,hip pop,2010.0,168.0,84.0,39.0,-2.0,30.0,23.0,239.0,16.0,19.0,74.0,2011.0
Louder,dancefloor dnb,2012.0,140.0,93.0,39.0,-1.0,35.0,48.0,207.0,2.0,5.0,40.0,2011.0
I'm On One,dance pop,2011.0,149.0,81.0,41.0,-3.0,63.0,44.0,296.0,5.0,32.0,75.0,2011.0
I Need A Doctor,g funk,2011.0,156.0,95.0,59.0,-5.0,31.0,40.0,284.0,9.0,45.0,77.0,2011.0
Headlines,canadian hip hop,2011.0,152.0,57.0,64.0,-7.0,9.0,43.0,236.0,37.0,11.0,80.0,2011.0
The A Team,pop,2011.0,85.0,29.0,64.0,-10.0,18.0,41.0,258.0,67.0,4.0,80.0,2011.0
Lego House,pop,2011.0,160.0,64.0,59.0,-8.0,13.0,56.0,185.0,56.0,10.0,77.0,2011.0
Tonight (I'm Fuckin' You),dance pop,2010.0,126.0,88.0,67.0,-5.0,14.0,27.0,232.0,3.0,4.0,65.0,2011.0
Springsteen,contemporary country,2011.0,104.0,81.0,69.0,-6.0,19.0,93.0,263.0,10.0,3.0,77.0,2011.0
Changed the Way You Kiss Me - Radio Edit,dance pop,2011.0,127.0,86.0,58.0,-4.0,9.0,19.0,195.0,1.0,4.0,69.0,2011.0
Rocketeer,asian american hip hop,2010.0,96.0,85.0,66.0,-6.0,27.0,36.0,211.0,18.0,5.0,73.0,2011.0
Shake It Out,baroque pop,2011.0,107.0,80.0,53.0,-4.0,11.0,22.0,278.0,1.0,4.0,68.0,2011.0
Pumped Up Kicks,indietronica,2011.0,128.0,71.0,73.0,-6.0,10.0,97.0,240.0,14.0,3.0,88.0,2011.0
Tongue Tied,indie pop,2011.0,113.0,94.0,56.0,-6.0,16.0,37.0,218.0,1.0,4.0,84.0,2011.0
Stereo Hearts (feat. Adam Levine),dance pop,2011.0,90.0,80.0,65.0,-3.0,27.0,80.0,211.0,3.0,10.0,87.0,2011.0
Tonight Tonight,dance pop,2011.0,100.0,78.0,69.0,-5.0,16.0,81.0,200.0,8.0,12.0,79.0,2011.0
Dirt Road Anthem,contemporary country,2010.0,127.0,74.0,68.0,-5.0,12.0,64.0,229.0,35.0,4.0,77.0,2011.0
It Girl,dance pop,2011.0,92.0,72.0,67.0,-5.0,10.0,35.0,192.0,2.0,6.0,76.0,2011.0
Don't Wanna Go Home,dance pop,2011.0,122.0,81.0,67.0,-5.0,13.0,64.0,206.0,2.0,7.0,68.0,2011.0
On The Floor,dance pop,2011.0,130.0,78.0,73.0,-5.0,7.0,57.0,285.0,11.0,5.0,84.0,2011.0
Down On Me,chicago rap,2010.0,160.0,60.0,70.0,-8.0,11.0,59.0,228.0,4.0,11.0,77.0,2011.0
Do It Like A Dude,dance pop,2011.0,140.0,84.0,66.0,-4.0,36.0,38.0,195.0,5.0,5.0,53.0,2011.0
All Of The Lights,chicago rap,2010.0,142.0,80.0,53.0,-3.0,18.0,22.0,300.0,8.0,7.0,82.0,2011.0
Last Friday Night (T.G.I.F.),dance pop,2012.0,126.0,82.0,65.0,-4.0,67.0,77.0,231.0,0.0,4.0,80.0,2011.0
Firework,dance pop,2010.0,124.0,83.0,64.0,-5.0,11.0,65.0,228.0,14.0,5.0,72.0,2011.0
E.T.,dance pop,2012.0,152.0,87.0,62.0,-5.0,37.0,76.0,230.0,2.0,18.0,71.0,2011.0
Motivation,atl hip hop,2011.0,141.0,67.0,74.0,-6.0,11.0,27.0,231.0,19.0,4.0,70.0,2011.0
Pretty Girl Rock,dance pop,2010.0,160.0,87.0,67.0,-5.0,9.0,90.0,244.0,20.0,25.0,72.0,2011.0
We R Who We R,dance pop,2010.0,120.0,82.0,74.0,-5.0,12.0,65.0,205.0,1.0,4.0,77.0,2011.0
Blow,dance pop,2010.0,120.0,73.0,75.0,-4.0,7.0,81.0,220.0,0.0,4.0,75.0,2011.0
Earthquake (feat. Tinie Tempah),indie poptimism,2012.0,153.0,86.0,54.0,-4.0,28.0,26.0,275.0,11.0,10.0,68.0,2011.0
Just A Kiss,contemporary country,2011.0,143.0,64.0,59.0,-6.0,10.0,33.0,219.0,45.0,3.0,69.0,2011.0
Born This Way,art pop,2011.0,124.0,83.0,59.0,-5.0,33.0,49.0,260.0,0.0,16.0,73.0,2011.0
The Edge Of Glory,art pop,2011.0,128.0,77.0,58.0,-7.0,11.0,36.0,321.0,0.0,4.0,68.0,2011.0
6 Foot 7 Foot,hip hop,2011.0,79.0,75.0,37.0,-5.0,32.0,60.0,249.0,0.0,30.0,77.0,2011.0
How To Love,hip hop,2011.0,154.0,66.0,64.0,-6.0,11.0,27.0,240.0,0.0,4.0,72.0,2011.0
Party Rock Anthem,dance pop,2011.0,130.0,73.0,75.0,-4.0,27.0,36.0,262.0,2.0,14.0,74.0,2011.0
Sexy And I Know It,dance pop,2011.0,130.0,86.0,71.0,-4.0,19.0,80.0,199.0,10.0,32.0,68.0,2011.0
The Show Goes On,chicago rap,2011.0,143.0,89.0,59.0,-4.0,16.0,65.0,240.0,2.0,12.0,76.0,2011.0
I Follow Rivers - The Magician Remix,art pop,2021.0,122.0,70.0,79.0,-6.0,8.0,30.0,280.0,2.0,4.0,67.0,2011.0
Midnight City,french shoegaze,2011.0,105.0,71.0,53.0,-7.0,18.0,32.0,241.0,2.0,4.0,76.0,2011.0
Donald Trump,hip hop,2011.0,163.0,90.0,64.0,-7.0,39.0,84.0,166.0,12.0,12.0,67.0,2011.0
Buzzin Remix,pop rap,2011.0,104.0,94.0,69.0,-4.0,28.0,54.0,224.0,9.0,15.0,53.0,2011.0
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",pop,2010.0,128.0,76.0,72.0,-4.0,31.0,62.0,201.0,1.0,5.0,75.0,2011.0
Sure Thing,dance pop,2010.0,81.0,61.0,68.0,-8.0,19.0,50.0,195.0,3.0,10.0,84.0,2011.0
When We Stand Together,alternative metal,2011.0,188.0,90.0,45.0,-4.0,4.0,88.0,191.0,0.0,5.0,71.0,2011.0
Super Bass,dance pop,2010.0,127.0,86.0,72.0,-4.0,60.0,67.0,200.0,27.0,20.0,83.0,2011.0
L.I.F.E.G.O.E.S.O.N.,indie folk,2011.0,82.0,75.0,60.0,-6.0,35.0,61.0,228.0,21.0,4.0,63.0,2011.0
Heart Skips a Beat (feat. Rizzle Kicks),dance pop,2011.0,111.0,88.0,84.0,-4.0,8.0,88.0,202.0,14.0,6.0,66.0,2011.0
Good Life,dance pop,2009.0,95.0,69.0,63.0,-8.0,13.0,65.0,253.0,8.0,5.0,78.0,2011.0
Raise Your Glass,dance pop,2010.0,122.0,71.0,70.0,-5.0,3.0,62.0,203.0,0.0,8.0,81.0,2011.0
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",dance pop,2011.0,129.0,94.0,67.0,-3.0,30.0,53.0,252.0,19.0,16.0,86.0,2011.0
Hey Baby (Drop It to the Floor) (feat. T-Pain),dance pop,2011.0,128.0,91.0,60.0,-3.0,26.0,76.0,234.0,4.0,9.0,76.0,2011.0
Read All About It,grime,2021.0,101.0,75.0,66.0,-6.0,22.0,45.0,236.0,34.0,4.0,35.0,2011.0
The Adventures of Rain Dance Maggie,alternative rock,2011.0,106.0,73.0,68.0,-5.0,26.0,58.0,282.0,0.0,3.0,71.0,2011.0
S&M,barbadian pop,2010.0,128.0,68.0,77.0,-5.0,9.0,84.0,244.0,1.0,4.0,82.0,2011.0
We Found Love,barbadian pop,2011.0,128.0,77.0,74.0,-4.0,11.0,60.0,215.0,3.0,4.0,80.0,2011.0
Down With The Trumpets,uk hip hop,2011.0,115.0,88.0,75.0,-5.0,24.0,79.0,187.0,9.0,8.0,65.0,2011.0
Loca People - Radio Edit,electro house,2011.0,128.0,81.0,93.0,-3.0,5.0,70.0,216.0,0.0,6.0,45.0,2011.0
Love You Like A Love Song,dance pop,2011.0,117.0,68.0,86.0,-4.0,7.0,92.0,188.0,8.0,5.0,85.0,2011.0
Who Says,dance pop,2011.0,101.0,93.0,68.0,-3.0,15.0,74.0,196.0,8.0,5.0,81.0,2011.0
Sweat - Remix,g funk,2011.0,130.0,73.0,81.0,-6.0,8.0,73.0,196.0,6.0,3.0,73.0,2011.0
Save The World,dance pop,2011.0,127.0,67.0,51.0,-8.0,8.0,40.0,213.0,1.0,5.0,70.0,2011.0
Higher,dance pop,2011.0,128.0,92.0,67.0,-5.0,13.0,70.0,188.0,0.0,8.0,51.0,2011.0
Glad You Came,boy band,2011.0,127.0,85.0,72.0,-4.0,11.0,45.0,198.0,3.0,6.0,83.0,2011.0
More - RedOne Jimmy Joker Remix,atl hip hop,2010.0,125.0,89.0,55.0,-3.0,35.0,79.0,220.0,0.0,5.0,72.0,2011.0
Black and Yellow,dance pop,2011.0,164.0,83.0,68.0,-5.0,27.0,54.0,218.0,6.0,7.0,80.0,2011.0
Roll Up,dance pop,2011.0,125.0,81.0,52.0,-5.0,9.0,60.0,228.0,5.0,19.0,68.0,2011.0
Skyfall,british soul,2012.0,76.0,55.0,35.0,-7.0,11.0,8.0,286.0,42.0,3.0,80.0,2012.0
